event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI30687,12-Aug-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mali),,6,,,0,60,,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,Sahelien,Regional,"On 12 August 2023, a number of people demonstrated in the town of Goundam (Goundam, Tombouctou). The demonstrators denounced the lack of electricity and water and demanded access to telecom and health services.",0,crowd size=no report,1693859501
MLI30656,11-Aug-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dozo Communal Militia (Mali),,4,24,,466,Western Africa,Mali,Segou,Niono,Sirifila Boundy,N'Dilla,14.4074,-5.8654,1,Undisclosed Source,Local partner-Other,"On 11 August 2023, JNIM militants attacked the village of N'Dilla (Niono, Segou) and clashed with Donso militiamen. Two Donso were killed.",2,,1693859501
MLI30677,11-Aug-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Tombouctou,Ber,Teherdje,16.742,-2.6962,2,Al Zallaqa; FAMAMali; Twitter; Undisclosed Source; Whatsapp,Local partner-Other,"On 11 August 2023, JNIM militants carried out a complex ambush involving IED detonation and gunfire against FAMa and Wagner convoy in the area of Teherdje (Tombouctou, Tombouctou). Four militants were killed and four or five were wounded and six FAMa soldiers were killed and four wounded according to separate JNIM and FAMa statements. One FAMa statement said that the militants had abandoned 24 corpses, 18 AK rifles, and 12 motorcycles, information that could not be independently verified. 10 fatalities coded. JNIM claimed responsibility, said it killed and wounded dozens of joint force members, captured one MOC soldier, and displayed three vehicles, weapons, ammunition, and equipment said captured.",10,,1693859501
MLI30678,11-Aug-23,2023,1,Political violence,Battles,Armed clash,Military Forces of Mali (2021-),Wagner Group,1,CMA: Coordination of Movements of the Azawad,,2,12,,466,Western Africa,Mali,Tombouctou,Tombouctou,Ber,Ber,16.8349,-2.5319,2,Facebook; Twitter; Undisclosed Source,Local partner-Other,"On 11 August 2023, FAMa and Wagner forces attacked a CMA position about 5km west of Ber (Tombouctou, Tombouctou). There were no casualties. FAMa and Wagner retreated amid a sandstorm followed by rain.",0,,1693859501
MLI30679,11-Aug-23,2023,1,Strategic developments,Strategic developments,Other,Military Forces of Mali (2021-),,1,,,0,10,,466,Western Africa,Mali,Tombouctou,Tombouctou,Ber,Ber,16.8349,-2.5319,1,Twitter,New media,"Other: On 11 August 2023, a Malian air force L-39 Albatros carried out a flyover over the town of Ber (Tombouctou, Tombouctou).",0,,1693859501
MLI30685,11-Aug-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,Pastoralists (Niger); Fulani Ethnic Group (Niger),4,24,,466,Western Africa,Mali,Mopti,Bandiagara,Lowol Gueou,Kargue,14.7947,-3.8127,1,Le Pays Dogon; Whatsapp,New media-Subnational,"On 11 August 2023, JNIM militants attacked a Dan Na Ambassagou position in the village of Kargue (Bandiagara, Mopti). The attack was repelled. Casualties unknown.",0,,1693859501
MLI30680,10-Aug-23,2023,1,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Tombouctou,Goundam,Bintagoungou,Bintagoungou,16.7377,-3.7308,2,Undisclosed Source,Local partner-Other,"Non-violent activity: On 10 August 2023, JNIM militants turned back transport trucks that left the weekly market in Bintagoungou (Goundam, Tombouctou) for Timbuktu. The militants urged the drivers to respect the embargo imposed on Timbuktu town.",0,,1693859501
MLI30707,10-Aug-23,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mali),,6,,,0,60,,466,Western Africa,Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,1,Undisclosed Source,Local partner-Other,"On 10 August 2023, demonstrators declared a 'dead town' in the town of Bandiagara (Bandiagara, Mopti), and the closure of the Bankass and Koro road which was blocked by demonstrators (through unclear means - assumed with their bodies).",0,crowd size=no report,1693859501
MLI30708,10-Aug-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bandiagara,Dourou,Dourou,14.3039,-3.4322,1,Undisclosed Source,Local partner-Other,"On 10 August 2023, JNIM militants attacked the village of Dourou (Bandiagara, Mopti). The attack would have resulted in heavy casualties. Casualties unknown.",0,,1693859501
MLI30731,10-Aug-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),,1,12,,466,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,2,Twitter; Undisclosed Source,Local partner-Other,"On 10 August 2023, a FAMa vehicle struck an IED likely planted by JNIM militants between Timbuktu and Tindjambane (Tombouctou, Tombouctou). Three soldiers were lightly wounded.",0,,1693859501
MLI30732,10-Aug-23,2023,1,Strategic developments,Strategic developments,Change to group/activity,Wagner Group,,8,,,0,80,,466,Western Africa,Mali,Tombouctou,Tombouctou,Salam,Tindjambane,16.744,-2.8491,2,Twitter,New media,"Movement of forces: On 10 August 2023, a Wagner unit aboard motorcycles was spotted near Tindjambane (Tombouctou, Tombouctou).",0,,1693859501
MLI30806,10-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Gao,Ansongo,Tessit,Tessit,15.2238,0.2925,2,Al Naba,International,"On 10 August 2023, IS Sahel militants captured three 'perpetrators' and sentenced two of them to imprisonment and one to stoning for fornication in the area of Tessit (Ansongo, Gao). The group displayed a photo of the one stoned to death.",1,,1693859501
MLI30686,09-Aug-23,2023,1,Demonstrations,Riots,Violent demonstration,Rioters (Mali),,5,Police Forces of Mali (2021-),,1,15,,466,Western Africa,Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,1,Kayes Kunafoni; Koro Kibaru; Le Pays Dogon; Twitter,New media-Subnational,"On 9 August 2023, a number of people demonstrated against insecurity in the town of Bandiagara (Bandiagara, Mopti). Some demonstrators and security forces (assumed Police) engaged in confrontations which resulted in one demonstrator killed and 11 people wounded, including four security force members.",1,crowd size=no report,1693859501
MLI30697,09-Aug-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),,1,12,,466,Western Africa,Mali,Mopti,Bandiagara,Bara Sara,Ouo,14.1013,-3.7846,2,Undisclosed Source,Local partner-Other,"On 9 August 2023, a FAMa convoy hit an IED likely planted by JNIM militants in the area of Ouo (Bandiagara, Mopti). Casualties unknown.",0,,1693859501
MLI30698,08-Aug-23,2023,1,Strategic developments,Strategic developments,Agreement,JNIM: Group for Support of Islam and Muslims,,2,Dozo Communal Militia (Mali),,4,24,,466,Western Africa,Mali,Segou,Macina,Monimpebougou,Bengo,14.2092,-5.4608,1,Undisclosed Source,Local partner-Other,"On 8 August 2023, JNIM militants and Donso (or Dozo militiamen) came to an agreement and the Donsos surrendered their weapons in the village of Bengo (Macina, Segou).",0,,1693859501
MLI30704,08-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Pastoralists (Mali),7,17,,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,2,Undisclosed Source,Local partner-Other,"Looting: On 8 August 2023, FAMa and Wagner seized 14 sheep (without paying) from herders at the exit of Goundam (Goundam, Tombouctou) towards Timbuktu.",0,,1693859501
MLI30706,08-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),Labor Group (Mali),7,37,,466,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,2,Undisclosed Source,Local partner-Other,"Looting: On 8 August 2023, two unidentified armed men aboard a motorcycle robbed a passenger transport vehicle about 4km from the town of Timbuktu (Tombouctou, Tombouctou) in the direction of Ber.",0,,1693859501
MLI30719,08-Aug-23,2023,1,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,,2,,,0,20,,466,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,RFI,International,"Non-violent activity: On 8 August 2023, JNIM announced the beginning of an embargo or blockade on the town of Timbuktu (Tombouctou, Tombouctou). This include the prevention of commercial traffic from Algeria and Mauritania from where much of the transported goods arrives that supply the town.",0,,1693859501
MLI30727,08-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Teachers (Mali),7,37,Civilian targeting,466,Western Africa,Mali,Koulikoro,Banamba,Toubacoro,Dandougou,14.1988,-6.9248,1,Studio Tamani,National,"On 8 August 2023, an unidentified armed group abducted three people including a teacher and seized more than a hundred heads of livestock in Dandougou (Banamba, Koulikoro).",0,,1702343149
MLI30684,07-Aug-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bandiagara,Bara Sara,Gani,14.0476,-3.7894,1,Le Pays Dogon; Undisclosed Source,Local partner-Other,"On 7 August 2023, presumed JNIM militants attacked the village of Gani (Bandiagara, Mopti). 12 people were killed.",12,,1693859501
MLI30696,07-Aug-23,2023,1,Strategic developments,Strategic developments,Arrests,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,,466,Western Africa,Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,1,Undisclosed Source,Local partner-Other,"On 7 August 2023, FAMa and Wagner arrested several persons in town of Boni (Douentza, Mopti).",0,,1693859501
MLI30701,07-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Soumpi,Kokonto,15.8216,-4.5141,2,Twitter; Whatsapp,New media,"On 7 August 2023, FAMa and Wagner forces killed three young men from the village of Sambani aboard a motorcycle west of Kokonto (Niafunke, Tombouctou). The corpses were discovered and buried by villagers on 8 August.",3,,1693859501
MLI30702,07-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Muslim Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Soumpi,Gaoun,15.8051,-4.4691,1,Twitter; Whatsapp,New media,"On 7 August 2023, FAMa and Wagner forces killed a marabout on his farmland in the hamlet of Gan [Gaoun] (Nafunke, Tombouctou).",1,,1693859501
MLI30703,07-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Labor Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Soumpi,Soumpi,15.8436,-4.3255,2,Twitter; Whatsapp,New media,"On 7 August 2023, FAMa and Wagner forces killed a merchant and seized his bag containing millions of CFA in cash east of Soumpi (Niafunke, Tombouctou). The corpse was discovered and buried by the population of Soumpi on 9 August.",1,,1693859501
MLI30705,07-Aug-23,2023,2,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Bellah Ethnic Group (Mali); Songhai Ethnic Group (Mali); Pastoralists (Mali); Farmers (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Sambani,15.7504,-4.5478,2,Twitter; Whatsapp,New media,"Around 7 August 2023 (between 6 - 8 August), a FAMa and Wagner convoy that departed Nampala on 3 August killed 51 people during their progression from Sambani to Soumpi (Niafunke, Tombouctou). The convoy repeatedly fired upon various villages, settlements, farming hamlets, and camps, including Fansara, Hondou-Thie, Madou-Dabai, near the villages of Dofana, Enekar, and Farana. Following the convoy's route through Niafunke, Goundam, and Timbuktu, locals continuously discovered bodies of individuals, often in groups of one to three, in various parts of the mentioned villages and nearby settlements. A 10 August report confirmed the recovery of 51 bodies between Sambani and Soumpi, the majority of the victims were reported to be Tuareg Bellah pastoralists and Songhai farmers. Fatalities are split across six events. 25 fatalities coded.",25,,1693859501
MLI30729,07-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,,466,Western Africa,Mali,Gao,Gao,Sony Aliber,Forgho Sonrhai,16.5077,-0.0733,2,Studio Tamani,National,"Looting: On 7 August 2023, an unidentified armed group robbed several people between Forgho [Forgho Sonrhai] and Gao (Gao, Gao).",0,,1702343149
MLI30683,06-Aug-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,,466,Western Africa,Mali,Mopti,Bandiagara,Doucoumbo,Bodio,14.2482,-3.6883,2,Koro Kibaru; Le Pays Dogon; Twitter; Undisclosed Source,Local partner-Other,"On 6 August 2023, a tricycle carrying two Dan Na Ambassagou militiamen hit an IED likely planted by JNIM militants between Bodio and Andakanda (Bandiagara, Mopti). The two militiamen were killed by the explosion.",2,,1693859501
MLI30690,06-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Civilian targeting,466,Western Africa,Mali,Koulikoro,Dioila,Zan Coulibaly,Faya Forest,12.6489,-7.5485,2,Undisclosed Source,Local partner-Other,"On 6 August 2023, an unidentified armed group attacked a bus at the level of the Faya Forest (Dioila, Koulikoro) on the road between Bamako and Segou. Casualties unknown.",0,,1693859501
MLI30694,06-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Aid Workers (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Souboundou,Niafunke,15.9322,-3.9906,2,Undisclosed Source,Local partner-Other,"On 6 August 2023, JNIM militants abducted NGO staff along with two vehicles near Niafunke (Niafunke, Tombouctou).",0,,1693859501
MLI30695,06-Aug-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Labor Group (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Sambani,15.7504,-4.5478,2,Undisclosed Source,Local partner-Other,"On 6 August 2023, a transport truck carrying goods hit an IED likely planted by JNIM militants near Sambani (Niafunke, Tombouctou). The driver and the co-driver were killed.",2,,1693859501
MLI30699,06-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Segou,Segou,Sansanding,Sansanding,13.7219,-6.0037,2,Undisclosed Source; Whatsapp,Local partner-Other,"On 6 August 2023, FAMa and Wagner forces launched a patrol in the area of Sansanding (Segou, Segou). About ten corpses were discovered in the bush following their passage. A video circulating on local WhatsApp groups showed three corpses including two visibly killed by headshots.",10,,1693859501
MLI30700,06-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Tuareg Ethnic Group (Mali); Fulani Ethnic Group (Mali); Pastoralists (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Sambani,15.7504,-4.5478,1,Twitter; Whatsapp,New media,"On 6 August 2023, A FAMa and Wagner convoy en route to Timbuktu stopped at the village of Sambani (Niafunke, Tombouctou). Upon entering the village, a motorcyclist (possibly a JNIM militant) shot at them and escaped. The convoy then gathered at the village center and asked the village chief to urge residents hiding weapons to hand them over, assuring no harm would come to them. Using the mosque's loudspeaker, the chief made the call. Seventeen individuals, including both elders and adults (13 black Tuaregs and 4 Fulani), surrendered their weapons. Despite the chief's protest, these individuals were loaded onto a truck under the premise of being released unharmed. However, about 1 km east of the village, the convoy executed all 17 individuals. Villagers found their bodies shortly after.",17,,1693859501
MLI30734,06-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Women (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Niafunke,Soumpi,Kokonto,15.8216,-4.5141,2,Twitter; Whatsapp,New media,"On 6 August 2023, FAMa and Wagner forces reached a farming hamlet named Madou Dabai (or Hondou-Thie), 5 km south of the village Kokonto (Niafunke, Tombouctou). The convoy opened fire, killing one man and three women. One of the women had a baby strapped to her back, who survived the gunfire.",4,,1693859501
MLI30728,06-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,,466,Western Africa,Mali,Gao,Gao,Gabero,Todyel,15.971,0.1706,1,Studio Tamani,National,"Looting: On 6 August 2023, an unidentified armed group seized livestock in the village of Todyel (Gao, Gao). Members of CMFPR 1 and 2 arrested two bandits in possession of the stolen livestock and seized a weapon on 9 August.",0,,1702343149
MLI30688,05-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),Labor Group (Mali),7,27,,466,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Ouatagouna,15.1787,0.7238,2,Undisclosed Source,Local partner-Other,"Looting: On 5 August 2023, IS Sahel militants pillaged a transport truck loaded with foodstuff and other goods near Ouatagouna (Ansongo, Gao).",0,,1693859501
MLI30692,05-Aug-23,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Segou,Niono,Dogofry,Farabougou,14.8883,-6.1409,1,Undisclosed Source,Local partner-Other,"On 5 August 2023, JNIM militants fired about ten mortar shells at the village of Farabougou (Niono, Segou). There were no casualties, although several houses were destroyed.",0,,1693859501
MLI30693,05-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Aid Workers (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Bintagoungou,Bintagoungou,16.7377,-3.7308,1,Undisclosed Source,Local partner-Other,"On 5 August 2023, JNIM militants abducted an NGO consultant along with a vehicle in Bintagoungou (Goundam, Tombouctou).",0,,1693859501
MLI30682,05-Aug-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,,466,Western Africa,Mali,Mopti,Bandiagara,Doucoumbo,Bodio,14.2482,-3.6883,1,Koro Kibaru; Studio Tamani; Twitter,New media-Subnational,"On 5 August 2023, presumed JNIM militants attacked the village of Bodio (Bandiagara, Mopti). 15 people including three Dan Na Ambassagou militiamen were killed and the village burned. The population left the village in the aftermath of the attack.",15,,1702343149
MLI30730,05-Aug-23,2023,1,Strategic developments,Strategic developments,Other,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Mopti,Douentza,Haire,Ela-Boni,15.066,-2.2459,1,Studio Tamani,Subnational,"Non-violent activity: On 5 August 2023, presumed JNIM militants ordered residents to leave the village of Ela-Boni (Douentza, Mopti). Some residents left for the town of Boni.",0,,1702343149
MLI30632,04-Aug-23,2023,1,Political violence,Battles,Armed clash,Wagner Group,,8,CMA: Coordination of Movements of the Azawad,,2,28,,466,Western Africa,Mali,Tombouctou,Goundam,Tilemsi,Foita,15.5499,-5.4113,1,Facebook; Twitter; Undisclosed Source; Whatsapp,Local partner-Other,"On 4 August 2023, presumed Wagner Group mercenaries attacked a CMA position in Foita (Goundam, Tombouctou). Two CMA combatants were killed and two others were wounded.",2,,1691427731
MLI30645,04-Aug-23,2023,1,Strategic developments,Strategic developments,Change to group/activity,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-),,8,,,0,80,,466,Western Africa,Mali,Mopti,Bankass,Bankass,Ogossagou,13.9583,-3.5706,1,FAMAMali,National,"Change to armed group: On 4 August 2023, MINUSMA has officially handed over its Ogossagou (Bankass, Mopti) base to the Malian Armed Forces (FAMa).",0,,1691427731
MLI30689,04-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Fafa,15.3217,0.7464,1,Undisclosed Source,Local partner-Other,"Looting: On 4 August 2023, IS Sahel militants stripped residents of donations that they had received in Ansongo when they returned to Fafa-Haoussa [Fafa] (Ansongo, Gao).",0,,1693859501
MLI30691,04-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Gao,Gabero,Gabero,15.8475,0.2345,2,Undisclosed Source,Local partner-Other,"Looting: On 4 August 2023, IS Sahel militants reported to be a hundred fighters seized 12 herds of livestock in the pastoral areas of Gabero (Gao, Gao).",0,,1693859501
MLI30618,03-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Tuareg Ethnic Group (Mali),7,37,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Undisclosed Source,Local partner-Other,"On 3 August 2023, unidentified armed group abducted a young man from the Ichirifane community (originating from Djebok) in the Sossokoira quarter in the city of Gao (Gao, Gao).",0,,1691427731
MLI30619,03-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,Undisclosed Source,Local partner-Other,"On 3 August 2023, an unidentified armed group aboard a pickup truck and armed with AK rifles abducted the son of the Gargando mayor in the Haribanda quarter in the town of Goundam (Goundam, Tombouctou).",0,,1691427731
MLI30620,03-Aug-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Segou,Niono,Nampalari,Nampala,15.2797,-5.5534,2,Undisclosed Source,Local partner-Other,"On 3 August 2023, The Malian air force carried out an airstrike and destroyed a vehicle at the north of Nampala (Niono, Segou). The vehicle destroyed belonged to a family who had been on vacation in Timbuktu (Tombouctou, Tombouctou), but had lost their route when they made a stop and the airstrike took place. No fatalities.",0,,1691427731
MLI30643,03-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Arab Ethnic Group (Mali),7,37,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Undisclosed Source,Local partner-Other,"On 3 August 2023, an unidentified armed group killed a young Arab man in the Aljanabandja quarter (4th quarter) in the city of Gao (Gao, Gao).",1,,1691427731
MLI30644,03-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Wagner Group,,8,Civilians (Mali),,7,78,Civilian targeting,466,Western Africa,Mali,Koulikoro,Nara,Dilly,NDjiebougou,14.9607,-7.641,2,Undisclosed Source,Local partner-Other,"On 3 August 2023, three lifeless bodies including an employee at the mayor's office were discovered near Ndjiebougou (Nara, Koulikoro). The victims were killed by Wagner mercenaries (as reported).",3,,1691427731
MLI30621,03-Aug-23,2023,1,Political violence,Battles,Armed clash,Islamic State (Sahel),,2,Military Forces of Mali (2021-),Police Forces of Mali (2021-) Gendarmerie,1,12,,466,Western Africa,Mali,Menaka,Menaka,Menaka,Essailal,15.8146,2.5212,1,aBamako; AFP; Al Naba; Amaq; Nashir; Undisclosed Source; Whatsapp,Local partner-Other,"On 3 August 2023, IS Sahel militants attacked a FAMa-escorted transport truck convoy near the village of Essailal (Menaka, Menaka). The attack took place when the escort returned from Anderamboukane. Six soldiers were killed, eight wounded, and 17 went missing, according to a provisional toll. 54 FAMa personnel were part of the convoy of which 37 personnel including the killed and wounded were returned to base, including 28 with their individual weapons. The militants seized six vehicles including four KIA and two Toyota and burned one KIA. The militants also seized three 12.7mm heavy machine guns, two PKM light machine guns. IS Sahel claimed responsibility and said it killed 13 soldiers, captured three others (ten soldiers killed and those captured were displayed on photographs), burned three vehicles, and seized four vehicles, weapons, and ammunition. IS Sahel announced on 7 December 2023 that three soldiers captured had been executed in revenge for crimes the group accused FAMa and Wagner forces of having committed in Tin Fadimata, Chimam, Anderamboukane, Inkadewane, and Tagarangabot, among others. 16 fatalities coded.",16,,1702339522
MLI30617,03-Aug-23,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Labor Group (Mali),7,37,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Studio Tamani,National,"On 3 August 2023, unidentified gunmen on motorcycles abducted two civilians (wood merchant) in the city of Gao (Gao, Gao).",0,,1702343150
MLI30633,02-Aug-23,2023,1,Strategic developments,Strategic developments,Arrests,Military Forces of Mali (2021-),,1,Civilians (Mali),,7,17,,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,Undisclosed Source,Local partner-Other,"On 2 August 2023, FAMa soldiers arrested individuals suspected of being affiliated with JNIM in possession of satellite phones and GPS devices in Goundam (Goundam, Tombouctou).",0,,1691427731
MLI30636,02-Aug-23,2023,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Gao,Ansongo,Bara,Tabango,15.8057,0.3672,1,Undisclosed Source,Local partner-Other,"On 2 August 2023, presumed IS Sahel militants attacked the village of Tabango (Ansongo, Gao). Casualties unknown.",0,,1691427731
MLI30646,02-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Ansongo,Ansongo,Bazi-Gourma,15.6991,0.4326,1,Undisclosed Source,Local partner-Other,"Looting: On 2 August 2023, presumed IS Sahel militants attacked the village of Bazi-Gourma (Ansongo, Gao). The militants seized livestock.",0,,1691427731
MLI30647,02-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Ansongo,Bara,Tannal,15.764,0.3462,1,Undisclosed Source,Local partner-Other,"Looting: On 2 August 2023, presumed IS Sahel militants attacked the village of Tannal (Ansongo, Gao). The militants seized livestock.",0,,1691427731
MLI30650,02-Aug-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),Labor Group (Mali),7,37,,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,2,Undisclosed Source,Local partner-Other,"Looting: On 2 August 2023, an unidentified armed group robbed a merchant on the road between Goundam (Goundam, Tombouctou) and Timbuktu (Tombouctou, Tombouctou).",0,,1691427731
